variant_type,source,variant_path,width,height,sha256
alpha_preview_512,D:\Unity Workspace\TheCat\design\development\asset_candidates\ui\scene_transition_status_tokens\batch_120_scene_transition_status_tokens_2026-06-26\semantic_sprites\tc120_unknown_gate.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\ui\scene_transition_status_tokens\batch_120_scene_transition_status_tokens_2026-06-26\reviews\variants\unk\b120_unk_alpha_preview_512.png,512,512,3bee9e5becdf3e313fdf576d1059bb1873198f307d403bfdedaa2c24891de4d6
checkerboard_review_512,D:\Unity Workspace\TheCat\design\development\asset_candidates\ui\scene_transition_status_tokens\batch_120_scene_transition_status_tokens_2026-06-26\semantic_sprites\tc120_unknown_gate.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\ui\scene_transition_status_tokens\batch_120_scene_transition_status_tokens_2026-06-26\reviews\variants\unk\b120_unk_checkerboard_review_512.png,512,512,a140053d64d80feff26fbdd8a088f07287582b726301796295251abdf3441c5f
darkfield_review_512,D:\Unity Workspace\TheCat\design\development\asset_candidates\ui\scene_transition_status_tokens\batch_120_scene_transition_status_tokens_2026-06-26\semantic_sprites\tc120_unknown_gate.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\ui\scene_transition_status_tokens\batch_120_scene_transition_status_tokens_2026-06-26\reviews\variants\unk\b120_unk_darkfield_review_512.png,512,512,6d5f1fb2f6b443622d67692a308313d8c83bfa953965e6d970df7b0b9c6a8a30
warmfield_review_512,D:\Unity Workspace\TheCat\design\development\asset_candidates\ui\scene_transition_status_tokens\batch_120_scene_transition_status_tokens_2026-06-26\semantic_sprites\tc120_unknown_gate.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\ui\scene_transition_status_tokens\batch_120_scene_transition_status_tokens_2026-06-26\reviews\variants\unk\b120_unk_warmfield_review_512.png,512,512,94080afeea8f8fb515e0bf5308e962e320d6f63f0c6376c12d20fb0bdc5372a2
alpha_mask_review_512,D:\Unity Workspace\TheCat\design\development\asset_candidates\ui\scene_transition_status_tokens\batch_120_scene_transition_status_tokens_2026-06-26\semantic_sprites\tc120_unknown_gate.png,D:\Unity Workspace\TheCat\design\development\asset_candidates\ui\scene_transition_status_tokens\batch_120_scene_transition_status_tokens_2026-06-26\reviews\variants\unk\b120_unk_alpha_mask_review_512.png,512,512,ff05beca3434e0e7cd9be04565a4c9bb5b2ccb0a98dfc66fe9bff99119a54c92
