cat_id,display_name,batch_slug,asset_type,candidate_path,candidate_sha256,candidate_size,spec_json_path,spec_json_sha256,generation_prompt_path,generation_prompt_sha256,source_turnaround_path,source_turnaround_sha256,source_lock_id,unity_sprite_path,unity_sprite_sha256,latest_cutout_preview_path,latest_cutout_preview_sha256,palette_hex,visible_bbox_source,active_screenshot,review_sheet,review_note,process_note,agent_prompt,recommendation
saiban,Saiban / Sword Saint,batch_47_starter_cat_strict_generation_spec_pack_2026-06-15,strict_generation_spec_card_1100x900,design/development/asset_candidates/starter_cats/saiban/batch_47_starter_cat_strict_generation_spec_pack_2026-06-15/thecat_cat_saiban_batch47_strict_generation_spec_card_v001.png,645cdcf0f17134272edb2e0db5b9bf734361152b45267f772cbc42c73cec4650,1100x900,design/development/asset_candidates/starter_cats/saiban/batch_47_starter_cat_strict_generation_spec_pack_2026-06-15/thecat_cat_saiban_batch47_strict_generation_spec_v001.json,dc22432d4cf1f96abeed133b51fa57531a19d88f25a6a65b1548c9237aaa36d3,design/development/asset_candidates/starter_cats/saiban/batch_47_starter_cat_strict_generation_spec_pack_2026-06-15/thecat_cat_saiban_batch47_generation_prompt_v001.md,6b842e509a084f3a45547d9ddea8bb2880e3ee684cef0d3395d826119b9acb7e,design/梦境支配者核心玩法/assets/characters/ch01_saiban_swordsaint/turnaround/saiban_turnaround_colored_2026-06-03.png,156a7fcb4ac3e9a75bf54788f12b7f18a43b6eaff3c14607ea689af612403dc1,saiban_turnaround_colored,Assets/TheCat/Art/Characters/Sprites/thecat_cat_saiban_combat_sprite_512_v001.png,fe13afc3758f19f66fd87debc56943a19b946ac78a44eab22d9ee1b146cc106b,design/development/asset_candidates/starter_cats/saiban/batch_31_cutout_candidate_2026-06-14/thecat_cat_saiban_cutout_alpha_512_preview_v001.png,eb4ce99343af196b3402348ff7c2778410d033c8933780db50bec308754a9224,#beb6af;#e5ded8;#898074;#713234;#f6f1e9;#372928;#61564b,"0,0,1686,933",05-active-cat-saiban.png,design/development/asset_candidates/starter_cats/batch_47_starter_cat_strict_generation_spec_pack_2026-06-15/thecat_starter_cat_batch47_strict_generation_spec_review_sheet.png,design/development/asset_candidates/starter_cats/batch_47_starter_cat_strict_generation_spec_pack_2026-06-15/starter_cat_batch47_strict_generation_spec_review.md,design/development/asset_candidates/starter_cats/batch_47_starter_cat_strict_generation_spec_pack_2026-06-15/starter_cat_batch47_strict_generation_spec_process_note.md,design/development/agent_prompts/p0_asset_batch_47_starter_cat_strict_generation_spec_pack.md,strict_generation_spec_only_do_not_import
nephthys,Nephthys / Moon-Sand Agent,batch_47_starter_cat_strict_generation_spec_pack_2026-06-15,strict_generation_spec_card_1100x900,design/development/asset_candidates/starter_cats/nephthys/batch_47_starter_cat_strict_generation_spec_pack_2026-06-15/thecat_cat_nephthys_batch47_strict_generation_spec_card_v001.png,3709fa3a32ff39707dc6f7a039ff4323afaf8bfd485cd4b7e1fce8f559dc2364,1100x900,design/development/asset_candidates/starter_cats/nephthys/batch_47_starter_cat_strict_generation_spec_pack_2026-06-15/thecat_cat_nephthys_batch47_strict_generation_spec_v001.json,2cb9bca7dfc755db68c83abb32294e3187fd42b0ee340b405778222e5828b808,design/development/asset_candidates/starter_cats/nephthys/batch_47_starter_cat_strict_generation_spec_pack_2026-06-15/thecat_cat_nephthys_batch47_generation_prompt_v001.md,1f72501971882d275658823b4f185c611ca0493ae83011fab698e7b063527b9a,design/梦境支配者核心玩法/assets/characters/ch02_nephthys_moonsand_agent/turnaround/nephthys_turnaround_colored_2026-06-03.png,37ad1532c8a981baaff67c05009ddc38482e9f00e71e6addfb2b321dad31de06,nephthys_turnaround_colored,Assets/TheCat/Art/Characters/Sprites/thecat_cat_nephthys_combat_sprite_512_v001.png,6eabcb75078dd2bfe9c5f0ba5191af40376ad7f9ea545b12d75f39b8ffb45a20,design/development/asset_candidates/starter_cats/nephthys/batch_37_nephthys_cutout_candidate_2026-06-15/thecat_cat_nephthys_cutout_alpha_512_preview_v001.png,04cb74124c21f6bac033f9ca15a03a35f4c581c690811f1818642bdf98e8e18d,#374050;#2b2e34;#5c4a33;#99703f;#bb9769;#e1d9cb;#716045,"0,0,1834,858",06-active-cat-nephthys.png,design/development/asset_candidates/starter_cats/batch_47_starter_cat_strict_generation_spec_pack_2026-06-15/thecat_starter_cat_batch47_strict_generation_spec_review_sheet.png,design/development/asset_candidates/starter_cats/batch_47_starter_cat_strict_generation_spec_pack_2026-06-15/starter_cat_batch47_strict_generation_spec_review.md,design/development/asset_candidates/starter_cats/batch_47_starter_cat_strict_generation_spec_pack_2026-06-15/starter_cat_batch47_strict_generation_spec_process_note.md,design/development/agent_prompts/p0_asset_batch_47_starter_cat_strict_generation_spec_pack.md,strict_generation_spec_only_do_not_import
suzune,Suzune / Sleep Shrine Healer,batch_47_starter_cat_strict_generation_spec_pack_2026-06-15,strict_generation_spec_card_1100x900,design/development/asset_candidates/starter_cats/suzune/batch_47_starter_cat_strict_generation_spec_pack_2026-06-15/thecat_cat_suzune_batch47_strict_generation_spec_card_v001.png,56975e9abb066f6c57da77abde617dc0170dd457d23abc8f6a8aeed21aacd574,1100x900,design/development/asset_candidates/starter_cats/suzune/batch_47_starter_cat_strict_generation_spec_pack_2026-06-15/thecat_cat_suzune_batch47_strict_generation_spec_v001.json,fa496cae0f3353c484bb48d780b7f42e1eb96c5eb4053898c77c689a0371f5f0,design/development/asset_candidates/starter_cats/suzune/batch_47_starter_cat_strict_generation_spec_pack_2026-06-15/thecat_cat_suzune_batch47_generation_prompt_v001.md,5f9f0860d78685e17aa5b682158ccad939292b125baf0af19c361022238d9170,design/梦境支配者核心玩法/assets/characters/ch03_suzune_sleep_shrine_maiden/turnaround/suzune_turnaround_colored_2026-06-03.png,9b616470da7daa77ad27c70d2b0bf3b3f30649ce0b639f6550589b9e6fe700b3,suzune_turnaround_colored,Assets/TheCat/Art/Characters/Sprites/thecat_cat_suzune_combat_sprite_512_v001.png,246ddd74501b4e81482d03e329b27c898ddd61b580bc30abeeeadef3aa61eaae,design/development/asset_candidates/starter_cats/suzune/batch_35_suzune_cutout_candidate_2026-06-15/thecat_cat_suzune_cutout_alpha_512_preview_v001.png,445469e0a2aa8efac894309a4a1714ff460c4636ca5f6601ab104681d3a724d5,#cec4bb;#ebe4de;#f6f0ea;#8d7d72;#8c3e2c;#49352d;#c0926d,"0,0,1774,887",07-active-cat-suzune.png,design/development/asset_candidates/starter_cats/batch_47_starter_cat_strict_generation_spec_pack_2026-06-15/thecat_starter_cat_batch47_strict_generation_spec_review_sheet.png,design/development/asset_candidates/starter_cats/batch_47_starter_cat_strict_generation_spec_pack_2026-06-15/starter_cat_batch47_strict_generation_spec_review.md,design/development/asset_candidates/starter_cats/batch_47_starter_cat_strict_generation_spec_pack_2026-06-15/starter_cat_batch47_strict_generation_spec_process_note.md,design/development/agent_prompts/p0_asset_batch_47_starter_cat_strict_generation_spec_pack.md,strict_generation_spec_only_do_not_import
