asset_id,semantic_name,description,batch,source,path,width,height,alpha_extrema,projection_crop,sha256,status
tc_map_pickup_fish_treat_pickup_batch117,fish_treat_pickup,fish treat pickup,batch117,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_event_pickups/batch_117_bedroom_event_pickups_2026-06-26/semantic_sprites/tc_map_pickup_fish_treat_pickup_batch117_candidate_v001.png,305,353,"(0, 255)",x82-374_y79-393,406bc6d2ea190f5507ce48d8304a8e886f90e144178616f65b932a4310d889d5,ok
tc_map_pickup_dream_thread_spool_pickup_batch117,dream_thread_spool_pickup,dream thread spool pickup,batch117,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_event_pickups/batch_117_bedroom_event_pickups_2026-06-26/semantic_sprites/tc_map_pickup_dream_thread_spool_pickup_batch117_candidate_v001.png,296,335,"(0, 255)",x486-734_y79-393,9edd2a74f8cad92577a09f73cbd24d189548bd425d5ba93bcdad770282b9fac5,ok
tc_map_pickup_memory_shard_cluster_pickup_batch117,memory_shard_cluster_pickup,memory shard cluster pickup,batch117,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_event_pickups/batch_117_bedroom_event_pickups_2026-06-26/semantic_sprites/tc_map_pickup_memory_shard_cluster_pickup_batch117_candidate_v001.png,267,351,"(0, 255)",x867-1143_y79-393,80253b1d7eb01495f38ed818b0e8bb228d65d5d28ac7455cae3f26c2800b00d6,ok
tc_map_pickup_moon_ticket_pass_pickup_batch117,moon_ticket_pass_pickup,moon ticket pass pickup,batch117,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_event_pickups/batch_117_bedroom_event_pickups_2026-06-26/semantic_sprites/tc_map_pickup_moon_ticket_pass_pickup_batch117_candidate_v001.png,340,298,"(0, 255)",x82-374_y450-775,052d8f80e9027510b1d1ad175dcbf4f16915f05d8b6dde3e56952f3a9b488838,ok
tc_map_pickup_blessing_lantern_pickup_batch117,blessing_lantern_pickup,blessing lantern pickup,batch117,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_event_pickups/batch_117_bedroom_event_pickups_2026-06-26/semantic_sprites/tc_map_pickup_blessing_lantern_pickup_batch117_candidate_v001.png,232,373,"(0, 255)",x486-734_y450-775,16c865fb4503c6d220f05a4bd0ff26e2332f5e62e87926f8b7d3e9ae0218869a,ok
tc_map_pickup_story_page_clue_pickup_batch117,story_page_clue_pickup,story page clue pickup,batch117,built_in_imagegen_chromakey_magenta_single_rework,design/development/asset_candidates/map/bedroom_event_pickups/batch_117_bedroom_event_pickups_2026-06-26/semantic_sprites/tc_map_pickup_story_page_clue_pickup_batch117_candidate_v002.png,942,1028,"(0, 255)",single_v002_bbox_x198-1092_y114-1094_pad24,b282bc6f732474463c98e38dc4a993a5c03b8ff31a9ffaaf4b5c34171e2f05b5,ok_v002_p1_readability_rework_replaces_v001
tc_map_pickup_star_button_key_pickup_batch117,star_button_key_pickup,star button key pickup,batch117,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_event_pickups/batch_117_bedroom_event_pickups_2026-06-26/semantic_sprites/tc_map_pickup_star_button_key_pickup_batch117_candidate_v001.png,259,344,"(0, 255)",x82-374_y851-1152,4e69e188eaac64a6fde71f101af2ca9b3b76df88be8d6dde19904fc1c2dc06fb,ok
tc_map_pickup_soft_light_orb_pickup_batch117,soft_light_orb_pickup,soft light orb pickup,batch117,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_event_pickups/batch_117_bedroom_event_pickups_2026-06-26/semantic_sprites/tc_map_pickup_soft_light_orb_pickup_batch117_candidate_v001.png,289,335,"(0, 255)",x486-734_y851-1152,6b3cd3c946cb3118825cea5c1e3b53e66aef442d16facfefdcedd973ebda568b,ok
tc_map_pickup_reroll_dice_charm_pickup_batch117,reroll_dice_charm_pickup,reroll dice charm pickup,batch117,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_event_pickups/batch_117_bedroom_event_pickups_2026-06-26/semantic_sprites/tc_map_pickup_reroll_dice_charm_pickup_batch117_candidate_v001.png,321,295,"(0, 255)",x867-1143_y851-1152,d68797e59644f24bdd5a215a8b18634a37d0dfbf8390118db017f54c8fd6ef7a,ok
