asset_id,semantic_name,description,batch,source,path,width,height,alpha_extrema,projection_crop,sha256,status
thecat_map_path_north_doorway_dream_arch_prop_batch109,north_doorway_dream_arch_prop,north doorway dream arch prop,batch109,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_entry_path_props/batch_109_bedroom_entry_path_props_2026-06-26/semantic_sprites/thecat_map_path_north_doorway_dream_arch_prop_batch109_candidate_v001.png,329,400,"(0, 255)",x56-373_y51-423,f71f392ae460aa0f1aaf5e863b27a50770ea95a589eac1da4c49eb83f6582c13,ok
thecat_map_path_side_window_moonbeam_marker_batch109,side_window_moonbeam_marker,side window moonbeam marker,batch109,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_entry_path_props/batch_109_bedroom_entry_path_props_2026-06-26/semantic_sprites/thecat_map_path_side_window_moonbeam_marker_batch109_candidate_v001.png,355,389,"(0, 255)",x414-817_y51-423,86809d87365b185b38be6b8cf174e0bdac87a52e769b994c26f17c2470f625d0,ok
thecat_map_path_blanket_curtain_entry_prop_batch109,blanket_curtain_entry_prop,blanket curtain entry prop,batch109,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_entry_path_props/batch_109_bedroom_entry_path_props_2026-06-26/semantic_sprites/thecat_map_path_blanket_curtain_entry_prop_batch109_candidate_v001.png,394,374,"(0, 255)",x863-1221_y51-423,9193fb449d16423b256ac8e0c1447b65e6d50e038438abd04e3d5583eb780b5c,ok
thecat_map_path_floor_path_ribbon_curve_batch109,floor_path_ribbon_curve,floor path ribbon curve,batch109,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_entry_path_props/batch_109_bedroom_entry_path_props_2026-06-26/semantic_sprites/thecat_map_path_floor_path_ribbon_curve_batch109_candidate_v001.png,349,379,"(0, 255)",x56-373_y485-837,6cd1b879cf137d81aac335bcc50455b064483164474317d0ddd386d7ebc8979d,ok
thecat_map_path_sock_trail_path_marker_batch109,sock_trail_path_marker,sock trail path marker,batch109,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_entry_path_props/batch_109_bedroom_entry_path_props_2026-06-26/semantic_sprites/thecat_map_path_sock_trail_path_marker_batch109_candidate_v001.png,241,371,"(0, 255)",x414-817_y485-837,695a5ea8124e56d1c59a2e919c994eddb69d5d70a3659b0619891783d50b0aff,ok
thecat_map_path_alarm_clock_hazard_prop_batch109,alarm_clock_hazard_prop,alarm clock hazard prop,batch109,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_entry_path_props/batch_109_bedroom_entry_path_props_2026-06-26/semantic_sprites/thecat_map_path_alarm_clock_hazard_prop_batch109_candidate_v001.png,282,354,"(0, 255)",x863-1221_y485-837,4bd38c7185db4b9f39ac47517b66e6ec9ba7331e415a090b49fb88b36b40e143,ok
thecat_map_path_nightlight_safe_glow_marker_batch109,nightlight_safe_glow_marker,nightlight safe glow marker,batch109,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_entry_path_props/batch_109_bedroom_entry_path_props_2026-06-26/semantic_sprites/thecat_map_path_nightlight_safe_glow_marker_batch109_candidate_v001.png,253,325,"(0, 255)",x56-373_y883-1194,41ea5ead74e7e990fa2dccdc41cabfc26a35e1f280ab6ff3200d10802962c849,ok
thecat_map_path_toy_train_path_blocker_batch109,toy_train_path_blocker,toy train path blocker,batch109,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_entry_path_props/batch_109_bedroom_entry_path_props_2026-06-26/semantic_sprites/thecat_map_path_toy_train_path_blocker_batch109_candidate_v001.png,439,269,"(0, 255)",x414-817_y883-1194,65e88f4bc03b8a6cd0fa7cb5de258e32879810d8744bafd6185510ae7d10a1a3,ok
thecat_map_path_wall_crack_entry_marker_batch109,wall_crack_entry_marker,wall crack entry marker,batch109,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_entry_path_props/batch_109_bedroom_entry_path_props_2026-06-26/semantic_sprites/thecat_map_path_wall_crack_entry_marker_batch109_candidate_v001.png,331,346,"(0, 255)",x863-1221_y883-1194,3386e97d5d8fef3302dfb5ecb56c47fe1383a4f79867d45526e0003552bb78c8,ok
