asset_id,semantic_name,description,batch,source,path,width,height,alpha_extrema,projection_crop,sha256,status
thecat_ui_char_scene_tab_recommended_pairing_corner_tab_batch114,recommended_pairing_corner_tab,recommended pairing corner tab,batch114,alpha_sheet_projection_split,design/development/asset_candidates/ui/character_scene_status_corner_tabs/batch_114_character_scene_status_corner_tabs_2026-06-26/semantic_sprites/thecat_ui_char_scene_tab_recommended_pairing_corner_tab_batch114_candidate_v001.png,256,342,"(0, 255)",x80-343_y77-373,36f4ec4c7ac1b5e07d6bd95c6a48d87602df7b3373762e8170578b0cf4a28b69,ok
thecat_ui_char_scene_tab_story_clue_corner_tab_batch114,story_clue_corner_tab,story clue corner tab,batch114,alpha_sheet_projection_split,design/development/asset_candidates/ui/character_scene_status_corner_tabs/batch_114_character_scene_status_corner_tabs_2026-06-26/semantic_sprites/thecat_ui_char_scene_tab_story_clue_corner_tab_batch114_candidate_v001.png,237,343,"(0, 255)",x499-741_y77-373,ec9ab76287b46c947b88991c556d71302cae4fca56bfaebad27c8f62f2919b34,ok
thecat_ui_char_scene_tab_scene_bonus_corner_tab_batch114,scene_bonus_corner_tab,scene bonus corner tab,batch114,alpha_sheet_projection_split,design/development/asset_candidates/ui/character_scene_status_corner_tabs/batch_114_character_scene_status_corner_tabs_2026-06-26/semantic_sprites/thecat_ui_char_scene_tab_scene_bonus_corner_tab_batch114_candidate_v001.png,261,344,"(0, 255)",x887-1109_y77-373,90ec0448df4ff89927e6514e0733e8463596309d40f2eda4e3ad9f2d5e1ea466,ok
thecat_ui_char_scene_tab_risk_warning_corner_tab_batch114,risk_warning_corner_tab,risk warning corner tab,batch114,alpha_sheet_projection_split,design/development/asset_candidates/ui/character_scene_status_corner_tabs/batch_114_character_scene_status_corner_tabs_2026-06-26/semantic_sprites/thecat_ui_char_scene_tab_risk_warning_corner_tab_batch114_candidate_v001.png,260,325,"(0, 255)",x80-343_y489-769,1946ff0e92a73e3bfc3b373ffb5d17ee3f645aab2bac8c4b0a140c617643301b,ok
thecat_ui_char_scene_tab_locked_pairing_corner_tab_batch114,locked_pairing_corner_tab,locked pairing corner tab,batch114,alpha_sheet_projection_split,design/development/asset_candidates/ui/character_scene_status_corner_tabs/batch_114_character_scene_status_corner_tabs_2026-06-26/semantic_sprites/thecat_ui_char_scene_tab_locked_pairing_corner_tab_batch114_candidate_v001.png,254,328,"(0, 255)",x499-741_y489-769,ad067705be992d00ab15b0f16cf82cd24e4b16d1a07738752fecc7aad5bbff5e,ok
thecat_ui_char_scene_tab_unknown_pairing_corner_tab_batch114,unknown_pairing_corner_tab,unknown pairing corner tab,batch114,alpha_sheet_projection_split,design/development/asset_candidates/ui/character_scene_status_corner_tabs/batch_114_character_scene_status_corner_tabs_2026-06-26/semantic_sprites/thecat_ui_char_scene_tab_unknown_pairing_corner_tab_batch114_candidate_v001.png,268,328,"(0, 255)",x887-1109_y489-769,62f1dae188a03bc9103fe9a50a994197ae9d07cce111d1b25b692ac8f0138d04,ok
thecat_ui_char_scene_tab_selected_pairing_corner_tab_batch114,selected_pairing_corner_tab,selected pairing corner tab,batch114,alpha_sheet_projection_split,design/development/asset_candidates/ui/character_scene_status_corner_tabs/batch_114_character_scene_status_corner_tabs_2026-06-26/semantic_sprites/thecat_ui_char_scene_tab_selected_pairing_corner_tab_batch114_candidate_v001.png,311,332,"(0, 255)",x80-343_y883-1167,b35a1d67846d5350266a5c13b71a954e171114a583860876ac66636632fd31a4,ok
thecat_ui_char_scene_tab_team_slot_ready_corner_tab_batch114,team_slot_ready_corner_tab,team slot ready corner tab,batch114,alpha_sheet_projection_split,design/development/asset_candidates/ui/character_scene_status_corner_tabs/batch_114_character_scene_status_corner_tabs_2026-06-26/semantic_sprites/thecat_ui_char_scene_tab_team_slot_ready_corner_tab_batch114_candidate_v001.png,290,326,"(0, 255)",x499-741_y883-1167,d8a0c98eaa23e352bccbabce4422d2324404549626582f68b5375353483a3188,ok
thecat_ui_char_scene_tab_needs_review_corner_tab_batch114,needs_review_corner_tab,needs review corner tab,batch114,alpha_sheet_projection_split,design/development/asset_candidates/ui/character_scene_status_corner_tabs/batch_114_character_scene_status_corner_tabs_2026-06-26/semantic_sprites/thecat_ui_char_scene_tab_needs_review_corner_tab_batch114_candidate_v001.png,267,324,"(0, 255)",x887-1109_y883-1167,25025baa15c3f90f30120251ef582f5196e29d32ceb7d0abd389d3600eb906e3,ok
