asset_id,semantic_name,description,batch,source,path,width,height,alpha_extrema,projection_crop,sha256,status
thecat_ui_role_scene_token_saiban_oath_sun_shield_role_badge_batch95,saiban_oath_sun_shield_role_badge,saiban oath sun shield role badge,batch95,alpha_sheet_projection_split,design/development/asset_candidates/ui/role_scene_ui_tokens/batch_95_role_scene_ui_tokens_imagegen_2026-06-25/semantic_sprites/thecat_ui_role_scene_token_saiban_oath_sun_shield_role_badge_batch95_candidate_v001.png,322,419,"(0, 255)",x55-387_y52-423,78c35d6a2b6b0ee8a31b375f94315745ab5440cdb94f3683fab24f78744f7585,ok
thecat_ui_role_scene_token_nephthys_moonsand_obelisk_role_badge_batch95,nephthys_moonsand_obelisk_role_badge,nephthys moonsand obelisk role badge,batch95,alpha_sheet_projection_split,design/development/asset_candidates/ui/role_scene_ui_tokens/batch_95_role_scene_ui_tokens_imagegen_2026-06-25/semantic_sprites/thecat_ui_role_scene_token_nephthys_moonsand_obelisk_role_badge_batch95_candidate_v001.png,406,419,"(0, 255)",x435-812_y52-423,a7dc9f229e0f4cdf98d963bf931313022303809752809cf15decdd1f915edd64,ok
thecat_ui_role_scene_token_suzune_moon_bell_torii_role_badge_batch95,suzune_moon_bell_torii_role_badge,suzune moon bell torii role badge,batch95,alpha_sheet_projection_split,design/development/asset_candidates/ui/role_scene_ui_tokens/batch_95_role_scene_ui_tokens_imagegen_2026-06-25/semantic_sprites/thecat_ui_role_scene_token_suzune_moon_bell_torii_role_badge_batch95_candidate_v001.png,410,394,"(0, 255)",x831-1193_y52-423,1d09a6a0be2af0c62e1dde909609b8311e200fb339324894130e9965fa34a839,ok
thecat_ui_role_scene_token_bedroom_dream_scene_token_batch95,bedroom_dream_scene_token,bedroom dream scene token,batch95,alpha_sheet_projection_split,design/development/asset_candidates/ui/role_scene_ui_tokens/batch_95_role_scene_ui_tokens_imagegen_2026-06-25/semantic_sprites/thecat_ui_role_scene_token_bedroom_dream_scene_token_batch95_candidate_v001.png,380,391,"(0, 255)",x55-387_y459-804,21d618a50d5d45e8cef97e6b8a34749a72ed2c9dc1bc2f623765be91ade7c7f5,ok
thecat_ui_role_scene_token_cat_room_hub_scene_token_batch95,cat_room_hub_scene_token,cat room hub scene token,batch95,alpha_sheet_projection_split,design/development/asset_candidates/ui/role_scene_ui_tokens/batch_95_role_scene_ui_tokens_imagegen_2026-06-25/semantic_sprites/thecat_ui_role_scene_token_cat_room_hub_scene_token_batch95_candidate_v001.png,421,356,"(0, 255)",x435-812_y459-804,b91893b7b5b3e773204b549484acaee23e4b9ae35b2a537d82b0c9d5330ca33f,ok
thecat_ui_role_scene_token_dream_route_scene_token_batch95,dream_route_scene_token,dream route scene token,batch95,alpha_sheet_projection_split,design/development/asset_candidates/ui/role_scene_ui_tokens/batch_95_role_scene_ui_tokens_imagegen_2026-06-25/semantic_sprites/thecat_ui_role_scene_token_dream_route_scene_token_batch95_candidate_v001.png,379,389,"(0, 255)",x831-1193_y459-804,0a81bda04103252b2be4aaaf5393cc087b7e69872ab5cf91ad5e6011fbbe27d2,ok
thecat_ui_role_scene_token_ready_card_frame_batch95,ready_card_frame,ready card frame,batch95,alpha_sheet_projection_split,design/development/asset_candidates/ui/role_scene_ui_tokens/batch_95_role_scene_ui_tokens_imagegen_2026-06-25/semantic_sprites/thecat_ui_role_scene_token_ready_card_frame_batch95_candidate_v001.png,343,414,"(0, 255)",x55-387_y833-1222,fea55375e7d3bab5a390489699e40d6ff8b69824d016827bd45f5226f3f02294,ok
thecat_ui_role_scene_token_selected_card_frame_batch95,selected_card_frame,selected card frame,batch95,alpha_sheet_projection_split,design/development/asset_candidates/ui/role_scene_ui_tokens/batch_95_role_scene_ui_tokens_imagegen_2026-06-25/semantic_sprites/thecat_ui_role_scene_token_selected_card_frame_batch95_candidate_v001.png,382,437,"(0, 255)",x435-812_y833-1222,09d05dae24f7d3598dfe41e29db5f724d52e78de8cdedf19b2388e00c218e319,ok
thecat_ui_role_scene_token_locked_card_frame_batch95,locked_card_frame,locked card frame,batch95,alpha_sheet_projection_split,design/development/asset_candidates/ui/role_scene_ui_tokens/batch_95_role_scene_ui_tokens_imagegen_2026-06-25/semantic_sprites/thecat_ui_role_scene_token_locked_card_frame_batch95_candidate_v001.png,355,389,"(0, 255)",x831-1193_y833-1222,3956fbc41702d5b625b5a4e1495e3533c267295c0c0087bea9b9dd7452414700,ok
