asset_id,semantic_name,description,batch,source,path,width,height,alpha_extrema,projection_crop,sha256,status
thecat_map_bedmark_bedroom_bed_defense_anchor_batch101,bedroom_bed_defense_anchor,bedroom bed defense anchor,batch101,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_dream_battle_markers/batch_101_bedroom_dream_battle_markers_imagegen_2026-06-25/semantic_sprites/thecat_map_bedmark_bedroom_bed_defense_anchor_batch101_candidate_v001.png,388,418,"(0, 255)",x57-397_y41-411,d9dc38208104b7cb009a2f3c43bc18593693234ced3c95608e89b2ba6ceb7fd1,ok
thecat_map_bedmark_bedroom_enemy_entry_north_gate_batch101,bedroom_enemy_entry_north_gate,bedroom enemy entry north gate,batch101,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_dream_battle_markers/batch_101_bedroom_dream_battle_markers_imagegen_2026-06-25/semantic_sprites/thecat_map_bedmark_bedroom_enemy_entry_north_gate_batch101_candidate_v001.png,319,412,"(0, 255)",x429-798_y41-411,0941ce62b18f37cf07b72cd35008b5c24b5a4b6980a67e76efa970c4b5bfe439,ok
thecat_map_bedmark_bedroom_enemy_entry_east_gate_batch101,bedroom_enemy_entry_east_gate,bedroom enemy entry east gate,batch101,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_dream_battle_markers/batch_101_bedroom_dream_battle_markers_imagegen_2026-06-25/semantic_sprites/thecat_map_bedmark_bedroom_enemy_entry_east_gate_batch101_candidate_v001.png,383,355,"(0, 255)",x849-1219_y41-411,3e3d2bdaf33bf5b717738f4e9c9c384ff619403aeee4a9e18bd80d4a2531c11e,ok
thecat_map_bedmark_bedroom_enemy_entry_south_gate_batch101,bedroom_enemy_entry_south_gate,bedroom enemy entry south gate,batch101,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_dream_battle_markers/batch_101_bedroom_dream_battle_markers_imagegen_2026-06-25/semantic_sprites/thecat_map_bedmark_bedroom_enemy_entry_south_gate_batch101_candidate_v001.png,292,380,"(0, 255)",x57-397_y456-788,22bf94a7090421f8884d2d9841efdee1de97707f85f4b4510c3f27b4c05a5d62,ok
thecat_map_bedmark_bedroom_enemy_entry_west_gate_batch101,bedroom_enemy_entry_west_gate,bedroom enemy entry west gate,batch101,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_dream_battle_markers/batch_101_bedroom_dream_battle_markers_imagegen_2026-06-25/semantic_sprites/thecat_map_bedmark_bedroom_enemy_entry_west_gate_batch101_candidate_v001.png,366,339,"(0, 255)",x429-798_y456-788,4948555904d9d84cb4d1cc28091823e6d548e71af07dfc8908bfab240a684666,ok
thecat_map_bedmark_bedroom_safe_zone_boundary_ring_batch101,bedroom_safe_zone_boundary_ring,bedroom safe zone boundary ring,batch101,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_dream_battle_markers/batch_101_bedroom_dream_battle_markers_imagegen_2026-06-25/semantic_sprites/thecat_map_bedmark_bedroom_safe_zone_boundary_ring_batch101_candidate_v001.png,399,365,"(0, 255)",x849-1219_y456-788,34a78633379d7ecb0a0a7a6bc1098a55cd5c1f9a7e1ad98e75694f14ebd20757,ok
thecat_map_bedmark_bedroom_path_arrow_marker_batch101,bedroom_path_arrow_marker,bedroom path arrow marker,batch101,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_dream_battle_markers/batch_101_bedroom_dream_battle_markers_imagegen_2026-06-25/semantic_sprites/thecat_map_bedmark_bedroom_path_arrow_marker_batch101_candidate_v001.png,352,326,"(0, 255)",x57-397_y829-1188,cbdae282d8d9abeb6822fd1ebf3976239dcc7399f67aee719241e2af32792528,ok
thecat_map_bedmark_bedroom_obstacle_blocker_marker_batch101,bedroom_obstacle_blocker_marker,bedroom obstacle blocker marker,batch101,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_dream_battle_markers/batch_101_bedroom_dream_battle_markers_imagegen_2026-06-25/semantic_sprites/thecat_map_bedmark_bedroom_obstacle_blocker_marker_batch101_candidate_v001.png,394,392,"(0, 255)",x429-798_y829-1188,8d258ec7acfeb75c0b7a1a20a24ce33eef2592b7f711470fbce5979bed5270b4,ok
thecat_map_bedmark_bedroom_spawn_warning_marker_batch101,bedroom_spawn_warning_marker,bedroom spawn warning marker,batch101,alpha_sheet_projection_split,design/development/asset_candidates/map/bedroom_dream_battle_markers/batch_101_bedroom_dream_battle_markers_imagegen_2026-06-25/semantic_sprites/thecat_map_bedmark_bedroom_spawn_warning_marker_batch101_candidate_v001.png,361,407,"(0, 255)",x849-1219_y829-1188,6d9a53ec84ce931416c7263bee3a4aef6352c132fc670fa192fe39ede4ab42c2,ok
