variant_type,source,variant_path,width,height,sha256
alpha_preview_512,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/semantic_sprites/tc_ui_menu_backplate_locked_file_seal_batch123_candidate_v001.png,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/reviews/variants/tc_ui_menu_backplate_locked_file_seal_batch123_candidate_v001_alpha_preview_512.png,512,512,1da9dfa05deca4469605b0705a343248df0f7fae40330fdd60febdd890cd2e1a
checkerboard_review_512,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/semantic_sprites/tc_ui_menu_backplate_locked_file_seal_batch123_candidate_v001.png,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/reviews/variants/tc_ui_menu_backplate_locked_file_seal_batch123_candidate_v001_checkerboard_review_512.png,512,512,49e4fc3bccead431969fada851d3dcd0b0740ade5140ffcf381afd614b955900
darkfield_review_512,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/semantic_sprites/tc_ui_menu_backplate_locked_file_seal_batch123_candidate_v001.png,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/reviews/variants/tc_ui_menu_backplate_locked_file_seal_batch123_candidate_v001_darkfield_review_512.png,512,512,d99a9b758122df77fb1b2cafc55f2662d16f6b27701a7c3a0f1f00fcf8b8aedd
warmfield_review_512,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/semantic_sprites/tc_ui_menu_backplate_locked_file_seal_batch123_candidate_v001.png,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/reviews/variants/tc_ui_menu_backplate_locked_file_seal_batch123_candidate_v001_warmfield_review_512.png,512,512,ad31563b0bb50a7c996cae1db8421b1d59bbb6de127f60d8c48b94ee32e805e4
alpha_mask_review_512,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/semantic_sprites/tc_ui_menu_backplate_locked_file_seal_batch123_candidate_v001.png,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/reviews/variants/tc_ui_menu_backplate_locked_file_seal_batch123_candidate_v001_alpha_mask_review_512.png,512,512,a2d6102027fa490ba4f2788b5faabebc6e3ed40240e4812594e7720db24cb4da
