variant_type,source,variant_path,width,height,sha256
alpha_preview_512,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/semantic_sprites/tc_ui_menu_backplate_route_map_scroll_frame_batch123_candidate_v001.png,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/reviews/variants/tc_ui_menu_backplate_route_map_scroll_frame_batch123_candidate_v001_alpha_preview_512.png,512,512,579bc51cd747976ee7dc5bcbe600a7473a82227cc714efeefa29d670ddf20ae8
checkerboard_review_512,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/semantic_sprites/tc_ui_menu_backplate_route_map_scroll_frame_batch123_candidate_v001.png,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/reviews/variants/tc_ui_menu_backplate_route_map_scroll_frame_batch123_candidate_v001_checkerboard_review_512.png,512,512,313f5fbea32fa41e77b02fcb423cd6f40f1b7d75d0451e19823b7dcc37377eee
darkfield_review_512,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/semantic_sprites/tc_ui_menu_backplate_route_map_scroll_frame_batch123_candidate_v001.png,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/reviews/variants/tc_ui_menu_backplate_route_map_scroll_frame_batch123_candidate_v001_darkfield_review_512.png,512,512,24f91074f1493d59db4aa11a30d066ff36e8f0c6bbf4d74428aa1a5d2d2505b6
warmfield_review_512,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/semantic_sprites/tc_ui_menu_backplate_route_map_scroll_frame_batch123_candidate_v001.png,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/reviews/variants/tc_ui_menu_backplate_route_map_scroll_frame_batch123_candidate_v001_warmfield_review_512.png,512,512,518fc85c89622cebe4471263742ea2470099070ef2789e05692748e61e3e60ba
alpha_mask_review_512,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/semantic_sprites/tc_ui_menu_backplate_route_map_scroll_frame_batch123_candidate_v001.png,design/development/asset_candidates/ui/main_menu_scene_backplates/batch_123_main_menu_scene_backplates_2026-06-26/reviews/variants/tc_ui_menu_backplate_route_map_scroll_frame_batch123_candidate_v001_alpha_mask_review_512.png,512,512,be8e912c21c10658c8398b52d23a7228bfc5ed4a6fb3bad15cd07b642680304d
